publisher,unit,unit_theme,key_expression,example_sentence,script_en,script_kr,key_expression_kr
YBM(김),1,인사,"I'm, nice to meet","Hi, I'm David. Nice to meet you.","Hi, I'm David. Nice to meet you.","안녕, 나는 데이비드야. 만나서 반가워.","나는 ~야, 만나서 반가워"
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
YBM(최),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
동아(윤),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
미래엔(강),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
아이스크림(박),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
천재(김),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
천재(이),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
천재(함),1,,,,,,
,2,,,,,,
,3,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
