major,mid,sub,code,label_en,description,question,Example sentences
Form,Morphology,,FM,Form: Morphology,Used only for morphological errors involving the incorrect use of derivational affixes.,이 단어 모양이 맞나요? 처음이나 끝부분을 바꿔야 하나요?,
Form,Spelling,,FS,Form: Spelling,"Includes all spelling errors, such as capitalization, consonant or vowel doubling, letter substitution, hyphen misuse, homophone confusion, and simple typos.","철자가 맞나요? (또는 대소문자, 띄어쓰기도 확인해보세요.)",
Grammar,Articles,,GA,Articles,"Includes all cases where the use of the definite article, indefinite article, or zero article violates general grammatical rules.","이 명사는 ‘하나’인가요, ‘그것(특정한 것)’인가요? a/an/the 중 뭐가 맞나요?",I’d like **a** pizza. | I’d like **an** orange juice. | There is **a** mirror. | Look at **the** sky. | Let’s open **the** door.
Grammar,Adjective,Comparative/Superlative,GADJCS,Adjective: Comparative/Superlative,Used for the incorrect formation or misuse of comparative and superlative forms.,"‘더 ~’, ‘가장 ~’를 말하려고 하나요? 모양이 맞나요?",Your drone is **bigger than** mine. | I’m **taller than** you. | The zebra is **older than** the pig. | I’m going to join **the best** soccer team in Argentina. | What’s your **favorite** subject?
Grammar,Adjective,Number,GADJN,Adjective: Number,Includes number agreement errors involving the incorrect addition of a plural ending to an adjective.,형용사 모양이 문장에 맞나요?,Four **small shoes** are on the box. | She has eight **long legs**. | The **colorful trees** are so beautiful. | I like to read **history books**. | I like to watch **English movies**.
Grammar,Adjective,Order,GADJO,Adjective: Order,"Used for errors in adjective position, such as placing an adjective after a noun or using the wrong order of multiple adjectives.",형용사를 여러 개 썼다면 순서가 자연스럽나요?,She has **long straight** hair. | It’s a **beautiful sunny** day. | You’re **very kind**. | He has **short curly hair**. | They’re **too expensive**.
Grammar,Adverb,Order,GADVO,Adverb: Order,"Indicates cases where an adverb is placed incorrectly, such as between a verb and its object.",이 말(부사)이 들어갈 자리가 맞나요?,He can play basketball **very well.**
Grammar,Determiner,Demonstrative,GDD,Determiner: Demonstrative,Includes all errors related to demonstrative determiners such as this and these.,이 말(this/that/these/those)은 무엇을 가리키나요?,"**This** egg sandwich is so delicious! | Look at **that** big fish. | How much are **these** pants? | Mom, look at **those** cute gloves. | Look at **those** colorful boxes!"
Grammar,Determiner,Indefinite,GDI,Determiner: Indefinite,"Includes all errors related to indefinite determiners such as all, another, any, each, and some.",이 말(some/any/many/much/a few 등)은 양이나 수에 맞나요?,Here’s **some** paper. | Do you want **some** juice? | Do you have **any** crayons? | Did you see **any** animals? | I will read **many** books.
Grammar,Determiner,Possessive,GDO,Determiner: Possessive,Includes all errors related to possessive determiners such as my and your.,이 말(my/your/his/her/our/their)은 누구의 것인가요?,"**My** name is Tom. | What’s **your** name? | Science is **his** favorite subject. | I’m waiting for **my** sister. I have **her** umbrella. | Today, let’s talk about **our** favorite subjects. | Dogs are looking for **their** toys."
Grammar,Determiner,Other,GDT,Determiner: Other,"Includes all other determiner errors, including relative and interrogative determiners.",이 말(each/every/another 등)은 뜻에 맞나요?,I exercise **every** day. | We play badminton at school **every** morning. | I play soccer with my dad **every** evening. | I eat fresh fruits and vegetables **every** day.
Grammar,Noun,Case,GNC,Noun: Case,"Used for the incorrect use or omission of the possessive ’s, or for using another structure where the possessive form is required.",‘~의’(’s)처럼 표시가 꼭 필요한가요? 없어도 되나요?,It's **Inho’s**. | It is my **grandpa’s** hat. | We’ll visit the **art center**. | I’m going to take a **guitar lesson**. | Welcome to the **Animals’ Sports** Day. | I’m going to write my name on my **friends’ T-shirt**.
Grammar,Noun,Number,GNN,Noun: Number,Indicates noun number errors caused by adding or omitting a plural ending.,하나인가요 여러 개인가요? -s를 붙여야 하나요?,"Whose **glasses** are these? | Four small **shoes** are on the box. | There are two **chairs**. | Whose **socks** are these? | Put on your **socks** and **shoes**, please."
Grammar,Pronoun,Demonstrative,GPD,Pronoun: Demonstrative,Includes all errors related to the use of demonstrative pronouns such as this and that.,이 말(this/that/these/those)이 무엇을 가리키는지 분명한가요?,What’s **this**? It’s a ball. | **This** is a tiger. | **That’s** the first airplane. | What are **these**? **They’re** buttons. | What are **those**? **They’re** maps. 
Grammar,Pronoun,Reflexive/Reciprocal,GPF,Pronoun: Reflexive/Reciprocal,Includes errors related to reflexive pronouns ending in -self and reciprocal pronouns such as each other and one another.,myself/each other 같은 말이 필요한가요? 모양이 맞나요?,Help **yourself**. | You can see **yourself** and the city around you. 
Grammar,Pronoun,Indefinite,GPI,Pronoun: Indefinite,"Includes all errors involving indefinite pronouns such as some, any, everyone, and nothing, as well as the substitute forms one, ones, and so.",someone/anything 같은 말이 뜻에 맞나요?,"Hello, **everyone**. | In the end, **everyone** is safe. | Is there **anything** fun? | I want to buy **something** for my brother. | The tree gives **everything** to a boy."
Grammar,Pronoun,Possessive,GPO,Pronoun: Possessive,"Includes all errors related to the use of possessive pronouns such as mine, yours, and theirs.",mine/yours 같은 말이 필요한가요? 아니면 my/your가 맞나요?,"It's **mine**. | Is this **yours**? | Yes, it’s **mine**. | **Mine** is green. | It’s not **mine**."
Grammar,Pronoun,Personal,GPP,Pronoun: Personal,"Applies to all personal pronoun errors, including errors involving impersonal pronouns such as it and there.",I/me/he/him 같은 말이 자리(앞/뒤)에 맞나요?,"Where is Lucas? I can’t find **him**. | **She’s** **my** sister, Kate. ... Oh! **She’s** tall. | Look at **them**! Cows and ducks. | There are three dogs. May I touch **them**? | Can **you** tell **us** about **your** day?"
Grammar,Pronoun,Relative/Interrogative,GPR,Pronoun: Relative/Interrogative,Includes all errors related to relative pronouns and interrogative pronouns.,who/which/what 같은 말이 여기서 맞나요?,**What** time do you get up? | **What** time do you go home? | **What** time do you have breakfast?
Grammar,Pronoun,Unclear reference,GPU,Pronoun: Unclear reference,Used when the referent of a pronoun is not clear from the context.,it/this/they가 무엇을 가리키는지 헷갈리지 않나요?,Look at the tree. **It’s** very tall. | I caught a big fish and cooked **it** for dinner. | What are **these**? **They’re** buttons. | Whose glasses are **these**? **They’re** Yuna’s. | **This** is my dad.
Grammar,Verb,Auxiliaries,GVAUX,Verb: Auxiliaries,"Includes the misuse of primary auxiliaries such as be, have, and do, as well as modal and semi-modal auxiliaries.",do/be/have/can 같은 말이 필요하나요? 모양이 맞나요?,"I **can** play the violin. | You **can** put your things in the basket. | **Do** you like pizza? | **Don’t** eat, please. | Everybody **doesn't** look the same."
Grammar,Verb,Morphology,GVM,Verb: Morphology,"Indicates verb form errors related to inflection, such as using a past form instead of a past participle.",동사 끝부분(-s/-ed/-ing)이 맞나요?,I’m **making** a piano. | My bird is **flying**. | He’s **playing** the janggu. | I’m **looking** for my brother. | It’s **raining** outside.
Grammar,Verb,Number,GVN,Verb: Number,Used for number agreement errors between the subject and the verb.,주어가 하나인가요? 동사에 -s가 필요하나요?,I **have** many friends in my class. | He **lives** in Korea now. | We **have** many classes today. | I **work** with farm animals. | It **is** very nice.
Grammar,Verb,Non-Finite/Finite,GVNF,Verb: Non-finite/Finite,"Used for errors in choosing a finite or non-finite verb form, such as using -ing instead of a relative clause.",to ~ / ~ing 중 무엇이 맞나요?,I like **to make** new things. | I like **to play** the piano. | I like **to read** books. | I love **dancing** very much. | I like **singing** songs.
Grammar,Verb,Tense,GVT,Verb: Tense,Used for the incorrect use of tense or aspect.,이 일은 언제 일어난 일인가요? 과거/지금/앞으로 중 뭐가 맞나요?,I **went** on a trip. | I **visited** my grandfather. | I **ate** delicious food. | I **took** a walk on Ollegil. | We **bought** a beautiful dress.  | | **I’ll visit** my cousins. | I **will join** a space camp. | I **will make** a robot. | I **will learn** Spanish. | / **I'll be** a gardener in San Diego.
Grammar,Verb,Voice,GVV,Verb: Voice,Includes all errors involving confusion between active and passive voice.,"‘누가 했다’인가요, ‘~당했다/되었다’인가요?",Van Gogh **painted** it. | Yi Sunsin **built** the ship. | Shakespeare **wrote** the story. | It **is made** with Hanji. | **I’m interested** in history.
Grammar,Word Class,,GWC,Word class,"Used for errors caused by confusion between word classes, such as using an adjective instead of a noun.","품사를 헷갈리지는 않았나요? (사물을 나타내는 말, 사물을 꾸미는 말, 행동과 관련된 말을 꾸미는 말 등)",The tiger cried **sadly**. | Listen **carefully**. | This is a present for **healthy** children.
Lexico-Grammar,Adjective,Complementation,XADJCO,Adj complementation,"Indicates errors in adjective complement structure, such as using the wrong infinitive or gerund form after an adjective.",이 형용사 뒤에 오는 말(to/that/명사 등)이 맞나요?,**Nice to** meet you. | **Good to** see you again.
Lexico-Grammar,Adjective,Dependent Preposition,XADJPR,Adj dependent preposition,Used for errors in choosing the preposition that depends on a specific adjective.,이 형용사 뒤 전치사(in/on/at 등)가 맞나요?,I’m **interested in** history. | I’m **interested in** science. | I’m **interested in** art.
Lexico-Grammar,Adverb,Dependent Preposition,XADVPR,Adv dependent preposition,Used for errors in choosing the preposition that depends on a specific adverb.,이 부사 뒤 전치사(in/on/at 등)가 맞나요?,It’s **next to** the toy shop. | It’s **next to** the bookstore. | Turn **right at** the corner. | Turn **left at** the bus stop.
Lexico-Grammar,Noun,Complementation,XNCO,Noun complementation,"Indicates errors in noun complement structure, such as using the wrong complement pattern after a noun.",이 명사 뒤에 오는 말(of/to/that 등)이 맞나요?,It’s **time to** go home. | It's a **day for** reading.
